,id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2,year
116,117,Mumbai,2010-03-13,YK Pathan,Brabourne Stadium,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,4.0,N,,RE Koertzen,RB Tiffin,2010
117,118,Chandigarh,2010-03-13,G Gambhir,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,5.0,N,,BR Doctrove,S Ravi,2010
118,119,Kolkata,2010-03-14,MK Tiwary,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,N,,HDPK Dharmasena,AM Saheba,2010
119,120,Chennai,2010-03-14,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,31.0,N,,K Hariharan,DJ Harper,2010
120,121,Ahmedabad,2010-03-15,V Sehwag,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,N,,BG Jerling,RE Koertzen,2010
121,122,Bengaluru,2010-03-16,JH Kallis,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,bat,Royal Challengers Bengaluru,wickets,8.0,N,,S Das,DJ Harper,2010
122,123,Kolkata,2010-03-16,MS Dhoni,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,55.0,N,,HDPK Dharmasena,AM Saheba,2010
123,124,Delhi,2010-03-17,SR Tendulkar,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,runs,98.0,N,,BR Doctrove,SK Tarapore,2010
124,125,Bengaluru,2010-03-18,JH Kallis,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,10.0,N,,K Hariharan,DJ Harper,2010
125,126,Delhi,2010-03-19,ML Hayden,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,5.0,N,,BR Doctrove,SK Tarapore,2010
126,127,Cuttack,2010-03-19,A Symonds,Barabati Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,6.0,N,,BF Bowden,M Erasmus,2010
127,128,Ahmedabad,2010-03-20,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,34.0,N,,RE Koertzen,RB Tiffin,2010
128,129,Mumbai,2010-03-20,JH Kallis,Brabourne Stadium,0,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,7.0,N,,HDPK Dharmasena,SS Hazare,2010
129,130,Cuttack,2010-03-21,A Symonds,Barabati Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,10.0,N,,BF Bowden,M Erasmus,2010
130,131,Chennai,2010-03-21,J Theron,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,tie,,Y,,K Hariharan,DJ Harper,2010
131,132,Mumbai,2010-03-22,SR Tendulkar,Brabourne Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,N,,SS Hazare,SJA Taufel,2010
132,133,Bengaluru,2010-03-23,RV Uthappa,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,36.0,N,,RE Koertzen,RB Tiffin,2010
133,134,Chandigarh,2010-03-24,AC Voges,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,31.0,N,,BR Doctrove,SK Tarapore,2010
134,135,Mumbai,2010-03-25,SR Tendulkar,Brabourne Stadium,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,5.0,N,,BF Bowden,AM Saheba,2010
135,136,Ahmedabad,2010-03-26,YK Pathan,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,8.0,N,,HDPK Dharmasena,SJA Taufel,2010
136,137,Chandigarh,2010-03-27,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,39.0,N,,BR Doctrove,S Ravi,2010
137,138,Bengaluru,2010-03-25,KM Jadhav,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,Delhi Capitals,runs,17.0,N,,BG Jerling,RE Koertzen,2010
138,139,Ahmedabad,2010-03-28,NV Ojha,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,17.0,N,,SS Hazare,SJA Taufel,2010
139,140,Mumbai,2010-03-28,Harbhajan Singh,Dr DY Patil Sports Academy,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,41.0,N,,S Das,K Hariharan,2010
140,141,Delhi,2010-03-29,DA Warner,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,runs,40.0,N,,SS Hazare,SJA Taufel,2010
141,142,Mumbai,2010-03-30,SL Malinga,Brabourne Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,4.0,N,,BR Doctrove,SK Tarapore,2010
142,143,Chennai,2010-03-31,M Vijay,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Chennai Super Kings,wickets,5.0,N,,BG Jerling,RE Koertzen,2010
143,144,Delhi,2010-03-31,KD Karthik,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,67.0,N,,HDPK Dharmasena,SJA Taufel,2010
144,145,Kolkata,2010-04-01,SC Ganguly,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,24.0,N,,K Hariharan,DJ Harper,2010
145,146,Chandigarh,2010-04-02,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,bat,Royal Challengers Bengaluru,wickets,6.0,N,,BF Bowden,M Erasmus,2010
146,147,Chennai,2010-04-03,M Vijay,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,23.0,N,,RE Koertzen,RB Tiffin,2010
147,148,Mumbai,2010-04-03,AT Rayudu,Brabourne Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,63.0,N,,BR Doctrove,S Ravi,2010
148,149,Kolkata,2010-04-04,DPMD Jayawardene,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,8.0,N,,S Asnani,DJ Harper,2010
149,150,Delhi,2010-04-04,PD Collingwood,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Delhi Capitals,runs,37.0,N,,BF Bowden,M Erasmus,2010
150,151,Nagpur,2010-04-05,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",0,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2.0,N,,HDPK Dharmasena,SJA Taufel,2010
151,152,Chennai,2010-04-06,SK Raina,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,N,,S Asnani,DJ Harper,2010
152,153,Jaipur,2010-04-07,MJ Lumb,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,9.0,N,,S Ravi,SK Tarapore,2010
153,154,Kolkata,2010-04-07,SC Ganguly,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,14.0,N,,BG Jerling,RE Koertzen,2010
154,155,Bengaluru,2010-04-08,TL Suman,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,7.0,N,,S Asnani,DJ Harper,2010
155,156,Chandigarh,2010-04-09,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Kings XI Punjab,wickets,6.0,N,,M Erasmus,AM Saheba,2010
156,157,Nagpur,2010-04-10,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",0,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6.0,N,,HDPK Dharmasena,SJA Taufel,2010
157,158,Bengaluru,2010-04-10,R Vinay Kumar,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7.0,N,,K Hariharan,DJ Harper,2010
158,159,Delhi,2010-04-11,PP Chawla,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,7.0,N,,BF Bowden,AM Saheba,2010
159,160,Jaipur,2010-04-11,SR Tendulkar,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,runs,37.0,N,,BR Doctrove,SK Tarapore,2010
160,161,Nagpur,2010-04-12,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,13.0,N,,RE Koertzen,RB Tiffin,2010
161,162,Mumbai,2010-04-13,KA Pollard,Brabourne Stadium,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,runs,39.0,N,,S Asnani,DJ Harper,2010
162,163,Chennai,2010-04-13,R Ashwin,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,N,,SS Hazare,SJA Taufel,2010
163,164,Jaipur,2010-04-14,KP Pietersen,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Royal Challengers Bengaluru,wickets,5.0,N,,BR Doctrove,S Ravi,2010
164,165,Chennai,2010-04-15,G Gambhir,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,6.0,N,,HDPK Dharmasena,SS Hazare,2010
165,166,Dharamsala,2010-04-16,RG Sharma,Himachal Pradesh Cricket Association Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,N,,M Erasmus,AM Saheba,2010
166,167,Bengaluru,2010-04-17,R McLaren,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,field,Mumbai Indians,runs,57.0,N,,HDPK Dharmasena,SJA Taufel,2010
167,168,Kolkata,2010-04-17,JD Unadkat,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,wickets,8.0,N,,BG Jerling,RB Tiffin,2010
168,169,Dharamsala,2010-04-18,MS Dhoni,Himachal Pradesh Cricket Association Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,N,,BF Bowden,AM Saheba,2010
169,170,Delhi,2010-04-18,A Symonds,Feroz Shah Kotla,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,11.0,N,,BR Doctrove,SK Tarapore,2010
170,171,Kolkata,2010-04-19,M Kartik,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,wickets,9.0,N,,BG Jerling,RE Koertzen,2010
171,172,Mumbai,2010-04-21,KA Pollard,Dr DY Patil Sports Academy,0,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,35.0,N,,BR Doctrove,RB Tiffin,2010
172,173,Mumbai,2010-04-22,DE Bollinger,Dr DY Patil Sports Academy,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,38.0,N,,BR Doctrove,RB Tiffin,2010
173,174,Mumbai,2010-04-24,A Kumble,Dr DY Patil Sports Academy,0,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bengaluru,wickets,9.0,N,,RE Koertzen,SJA Taufel,2010
174,175,Mumbai,2010-04-25,SK Raina,Dr DY Patil Sports Academy,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,22.0,N,,RE Koertzen,SJA Taufel,2010
175,176,Chennai,2011-04-08,S Anirudha,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,runs,2.0,N,,BR Doctrove,PR Reiffel,2011
176,177,Hyderabad,2011-04-09,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0,N,,RE Koertzen,SK Tarapore,2011
177,178,Kochi,2011-04-09,AB de Villiers,Nehru Stadium,0,Kochi Tuskers Kerala,Royal Challengers Bengaluru,Kochi Tuskers Kerala,bat,Royal Challengers Bengaluru,wickets,6.0,N,,HDPK Dharmasena,K Hariharan,2011
178,179,Delhi,2011-04-10,SL Malinga,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,8.0,N,,AM Saheba,RB Tiffin,2011
179,180,Mumbai,2011-04-10,SB Wagh,Dr DY Patil Sports Academy,0,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,bat,Rising Pune Supergiant,wickets,7.0,N,,BR Doctrove,PR Reiffel,2011
180,181,Kolkata,2011-04-11,JH Kallis,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,9.0,N,,RE Koertzen,SK Tarapore,2011
181,182,Jaipur,2011-04-12,SK Warne,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Rajasthan Royals,wickets,6.0,N,,Aleem Dar,RB Tiffin,2011
182,183,Bengaluru,2011-04-12,SR Tendulkar,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,N,,HDPK Dharmasena,AL Hill,2011
183,184,Chandigarh,2011-04-13,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,,Asad Rauf,SL Shastri,2011
184,185,Mumbai,2011-04-13,MD Mishra,Dr DY Patil Sports Academy,0,Rising Pune Supergiant,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Rising Pune Supergiant,wickets,4.0,N,,S Asnani,PR Reiffel,2011
185,186,Hyderabad,2011-04-14,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,33.0,N,,RE Koertzen,S Ravi,2011
186,187,Jaipur,2011-04-15,G Gambhir,Sawai Mansingh Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,9.0,N,,Aleem Dar,SS Hazare,2011
187,188,Mumbai,2011-04-15,BB McCullum,"Wankhede Stadium, Mumbai",0,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,8.0,N,,BR Doctrove,PR Reiffel,2011
188,189,Chennai,2011-04-16,MEK Hussey,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,runs,21.0,N,,HDPK Dharmasena,AL Hill,2011
189,190,Hyderabad,2011-04-16,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,N,,RE Koertzen,S Ravi,2011
190,191,Mumbai,2011-04-17,Yuvraj Singh,Dr DY Patil Sports Academy,0,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,3.0,N,,Asad Rauf,AM Saheba,2011
191,192,Kolkata,2011-04-17,L Balaji,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,N,,Aleem Dar,RB Tiffin,2011
192,193,Kochi,2011-04-18,BB McCullum,Nehru Stadium,0,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7.0,N,D/L,K Hariharan,AL Hill,2011
193,194,Delhi,2011-04-19,S Sohal,Feroz Shah Kotla,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,16.0,N,,PR Reiffel,RJ Tucker,2011
194,195,Mumbai,2011-04-20,MM Patel,"Wankhede Stadium, Mumbai",0,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,bat,Mumbai Indians,wickets,7.0,N,,Asad Rauf,AM Saheba,2011
195,196,Kolkata,2011-04-20,DPMD Jayawardene,Eden Gardens,0,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,6.0,N,,Aleem Dar,RB Tiffin,2011
196,197,Chandigarh,2011-04-21,SE Marsh,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,48.0,N,,S Asnani,PR Reiffel,2011
197,198,Mumbai,2011-04-22,Harbhajan Singh,"Wankhede Stadium, Mumbai",0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,8.0,N,,Asad Rauf,AM Saheba,2011
198,199,Kolkata,2011-04-22,CH Gayle,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,9.0,N,,SS Hazare,RB Tiffin,2011
199,200,Delhi,2011-04-23,DA Warner,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,runs,29.0,N,,S Asnani,RE Koertzen,2011
200,201,Hyderabad,2011-04-24,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,37.0,N,,HDPK Dharmasena,AL Hill,2011
201,202,Jaipur,2011-04-24,SK Warne,Sawai Mansingh Stadium,0,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0,N,,BR Doctrove,SK Tarapore,2011
202,203,Chennai,2011-04-25,MEK Hussey,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,Chennai Super Kings,runs,25.0,N,,Aleem Dar,RB Tiffin,2011
203,204,Delhi,2011-04-26,V Kohli,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,3.0,N,,S Asnani,RJ Tucker,2011
204,205,Mumbai,2011-04-27,DE Bollinger,Dr DY Patil Sports Academy,0,Rising Pune Supergiant,Chennai Super Kings,Rising Pune Supergiant,bat,Chennai Super Kings,wickets,8.0,N,,Asad Rauf,SL Shastri,2011
205,206,Kochi,2011-04-27,I Sharma,Nehru Stadium,0,Kochi Tuskers Kerala,Sunrisers Hyderabad,Kochi Tuskers Kerala,field,Sunrisers Hyderabad,runs,55.0,N,,HDPK Dharmasena,AL Hill,2011
206,207,Delhi,2011-04-28,MK Tiwary,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,runs,17.0,N,,PR Reiffel,RJ Tucker,2011
207,208,Jaipur,2011-04-29,J Botha,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,,Asad Rauf,SK Tarapore,2011
208,209,Bengaluru,2011-04-29,V Kohli,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Rising Pune Supergiant,Rising Pune Supergiant,field,Royal Challengers Bengaluru,runs,26.0,N,,Aleem Dar,SS Hazare,2011
209,210,Kochi,2011-04-30,V Sehwag,Nehru Stadium,0,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,runs,38.0,N,,HDPK Dharmasena,AL Hill,2011
210,211,Kolkata,2011-04-30,Iqbal Abdulla,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,N,,AM Saheba,SL Shastri,2011
211,212,Jaipur,2011-05-01,LRPL Taylor,Sawai Mansingh Stadium,0,Rajasthan Royals,Rising Pune Supergiant,Rajasthan Royals,field,Rajasthan Royals,wickets,6.0,N,,SK Tarapore,SJA Taufel,2011
212,213,Chennai,2011-05-01,JA Morkel,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,19.0,N,,Aleem Dar,RB Tiffin,2011
213,214,Mumbai,2011-05-02,KA Pollard,"Wankhede Stadium, Mumbai",0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,23.0,N,,HDPK Dharmasena,PR Reiffel,2011
214,215,Delhi,2011-05-02,P Parameswaran,Feroz Shah Kotla,0,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7.0,N,,Asad Rauf,SL Shastri,2011
215,216,Hyderabad,2011-05-03,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,20.0,N,,S Asnani,RJ Tucker,2011
216,217,Chennai,2011-05-04,MEK Hussey,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,8.0,N,,SS Hazare,RB Tiffin,2011
217,218,Mumbai,2011-05-04,R Sharma,Dr DY Patil Sports Academy,0,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Mumbai Indians,runs,21.0,N,,HDPK Dharmasena,SJA Taufel,2011
218,219,Kochi,2011-05-05,BJ Hodge,Nehru Stadium,0,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,17.0,N,,S Ravi,RJ Tucker,2011
219,220,Hyderabad,2011-05-05,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,N,,Asad Rauf,AM Saheba,2011
220,221,Bengaluru,2011-05-06,CH Gayle,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bengaluru,runs,85.0,N,,Aleem Dar,RB Tiffin,2011
221,222,Kolkata,2011-05-07,Iqbal Abdulla,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,runs,10.0,N,D/L,Asad Rauf,PR Reiffel,2011
222,223,Mumbai,2011-05-07,AT Rayudu,"Wankhede Stadium, Mumbai",0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,32.0,N,,K Hariharan,SJA Taufel,2011
223,224,Bengaluru,2011-05-08,CH Gayle,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Royal Challengers Bengaluru,wickets,9.0,N,,Aleem Dar,SS Hazare,2011
224,225,Chandigarh,2011-05-08,R Sharma,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,bat,Rising Pune Supergiant,wickets,5.0,N,,SK Tarapore,RJ Tucker,2011
225,226,Jaipur,2011-05-09,M Vijay,Sawai Mansingh Stadium,0,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,runs,63.0,N,,K Hariharan,SJA Taufel,2011
226,227,Hyderabad,2011-05-10,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,Rising Pune Supergiant,wickets,6.0,N,,Asad Rauf,AM Saheba,2011
227,228,Chandigarh,2011-05-10,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,76.0,N,,SK Tarapore,RJ Tucker,2011
228,229,Jaipur,2011-05-11,S Aravind,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,9.0,N,,HDPK Dharmasena,K Hariharan,2011
229,230,Chennai,2011-05-12,MS Dhoni,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,18.0,N,,AM Saheba,SL Shastri,2011
230,231,Indore,2011-05-13,KD Karthik,Holkar Cricket Stadium,0,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,,S Asnani,RJ Tucker,2011
231,232,Bengaluru,2011-05-14,CH Gayle,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,4.0,N,D/L,RE Koertzen,RB Tiffin,2011
232,233,Mumbai,2011-05-14,A Mishra,"Wankhede Stadium, Mumbai",0,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,10.0,N,,S Ravi,SK Tarapore,2011
233,234,Dharamsala,2011-05-15,PP Chawla,Himachal Pradesh Cricket Association Stadium,0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,29.0,N,,Asad Rauf,SL Shastri,2011
